dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ueId,predicted_anomaly,anomaly_score,authentication_status
10873.0,1.0,0.049769,3130.0,0.0,0.999953,2.0,13.0,25.0,-14.0,0.0,-121.0,95.0,6.0,11.0,59.5,9.0,-1,-0.058096541327038786,rejected
10942.0,1.0,0.044792,3130.0,0.0,0.99998,2.0,13.0,25.0,-14.0,0.0,-121.0,92.9,4.0,12.0,59.0,9.0,-1,-0.06089480405970027,rejected
11005.0,1.0,0.140313,3130.0,0.0,0.999991,2.0,13.0,25.0,-14.0,0.0,-121.0,66.7,4.0,36.0,6.0,,-1,-0.058077226503189805,rejected
11037.0,1.0,0.126282,3138.0,0.0,0.999997,2.0,13.0,25.0,-14.0,0.0,-121.0,96.0,4.0,10.0,60.5,,-1,-0.060665869500117764,rejected
11106.0,1.0,0.113654,3138.0,0.0,0.999998,2.0,13.0,25.0,-14.0,0.0,-121.0,95.0,6.0,9.0,60.0,,-1,-0.06022849771026695,rejected
11169.0,1.0,0.102288,3138.0,0.0,0.999999,2.0,13.0,25.0,-14.0,0.0,-121.0,96.4,4.0,14.0,60.5,,-1,-0.061661723044000194,rejected
11232.0,1.0,0.192059,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,73.7,4.0,36.0,11.0,,-1,-0.05427822195344478,rejected
11295.0,1.0,0.272854,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,65.0,4.0,35.0,5.0,10.0,-1,-0.060759335879231546,rejected
11364.0,1.0,0.245568,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,93.7,4.0,34.0,60.0,10.0,-1,-0.08090860823823165,rejected
11427.0,1.0,0.221011,3138.0,0.0,1.0,1.0,13.0,25.0,-14.0,0.0,-121.0,72.7,7.0,9.0,12.5,10.0,-1,-0.03382484011359277,rejected
11490.0,1.0,0.19891,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,65.0,6.0,34.0,5.0,10.0,-1,-0.05552250292702421,rejected
11522.0,1.0,0.179019,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,92.9,4.0,10.0,58.5,10.0,-1,-0.05895854552901447,rejected
11585.0,1.0,0.161117,3138.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,94.4,4.0,34.0,59.0,10.0,-1,-0.08090860823823165,rejected
11648.0,1.0,0.145006,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,94.4,4.0,9.0,59.0,10.0,-1,-0.0628065324633289,rejected
11711.0,1.0,0.130505,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,95.0,4.0,36.0,60.0,10.0,-1,-0.08526873590451112,rejected
11743.0,1.0,0.217454,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,93.7,6.0,9.0,59.5,10.0,-1,-0.06022849771026695,rejected
11812.0,1.0,0.195709,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,96.0,4.0,36.0,61.0,10.0,-1,-0.08526873590451112,rejected
11844.0,1.0,0.276138,3146.0,0.0,1.0,1.0,13.0,25.0,-14.0,0.0,-121.0,94.4,15.0,6.0,60.0,10.0,-1,-0.0606681052682666,rejected
11876.0,1.0,0.248524,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,62.0,13.0,37.0,2.0,10.0,-1,-0.041899295310535156,rejected
1016.0,9.0,0.1,386.0,9.0,0.1,2.0,26.0,25.0,-11.5,9.0,-112.0,96.0,8.0,31.0,61.0,10.0,-1,-0.07080416227674324,rejected
11939.0,1.0,0.323672,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,66.7,13.0,39.0,3.5,10.0,-1,-0.04204798205223703,rejected
11971.0,1.0,0.391305,3146.0,0.0,1.0,2.0,13.0,25.0,-14.0,0.0,-121.0,65.0,11.0,38.0,4.0,10.0,-1,-0.04246293463347672,rejected
12034.0,1.0,0.452174,3146.0,0.0,1.0,1.0,13.0,25.0,-14.0,0.0,-121.0,95.0,8.0,39.0,32.0,10.0,-1,-0.07188791524884663,rejected
12343.0,1.0,0.431261,4675.0,0.0,0.733579,1.0,44.0,25.0,-14.0,-0.5,-122.0,95.0,7.0,29.0,60.5,10.0,-1,-0.04229320748595311,rejected
12377.0,1.0,0.388135,4675.0,0.0,0.858413,1.0,44.0,25.0,-14.0,-0.5,-122.0,93.7,8.0,32.0,59.5,10.0,-1,-0.046641065820529404,rejected
